"idplant","idcrude"
"P00538","S00694"
"P00538","S00695"
"P00538","S00696"
"P00538","S00697"
"P00539","S00699"
"P00540","T00165"
"P00540","T00281"
"P00541","S00700"
"P00541","S00701"
"P00541","T00186"
"P00542","S00702"
"P00543","S00703"
"P00544","S00704"
"P00544","S00705"
"P00545","S00706"
"P00545","S00707"
"P00546","T00045"
"P00546","T00257"
"P00547","S00708"
"P00547","T00045"
"P00547","T00257"
"P00548","T00105"
"P00549","S00709"
"P00549","S00710"
"P00549","S00711"
"P00550","S00712"
"P00551","S00713"
"P00551","S00714"
"P00552","S00715"
"P00553","S00716"
"P00554","S00717"
"P00555","S00718"
"P00556","S00719"
"P00556","T00152"
"P00556","T00218"
"P00557","S00720"
"P00558","S00721"
"P00559","S00722"
"P00560","S00723"
"P00561","S00724"
"P00561","S00725"
"P00562","S00726"
"P00563","S00727"
"P00563","S00728"
"P00563","S00729"
"P00563","S00730"
"P00563","S00731"
"P00563","T00013"
"P00563","T00140"
"P00564","T00170"
"P00565","S00732"
"P00565","S00733"
"P00566","S00734"
"P00566","S00735"
"P00567","S00736"
"P00567","T00086"
"P00568","S00737"
"P00568","T00169"
"P00568","T00221"
"P00568","T00225"
"P00569","S00738"
"P00570","S00739"
"P00571","S00740"
"P00571","T00143"
"P00571","T00208"
"P00572","S00741"
"P00573","S00742"
"P00574","S00743"
"P00575","S00744"
"P00576","S00748"
"P00577","S00749"
"P00577","S00750"
"P00577","S00751"
"P00577","S00752"
"P00578","S00753"
"P00579","S00754"
"P00580","S00755"
"P00580","S00756"
"P00581","S00757"
"P00582","S00758"
"P00583","S00759"
"P00584","S00760"
"P00585","T00138"
"P00585","T00220"
"P00586","S00762"
"P00587","S00763"
"P00587","T00079"
"P00587","T00080"
"P00587","T00113"
"P00588","S00764"
"P00589","S00765"
"P00590","S00766"
"P00590","S00767"
"P00590","S00768"
"P00590","S00769"
"P00591","S00770"
"P00592","S00771"
"P00592","S00772"
"P00592","T00104"
"P00593","S00773"
"P00593","S00774"
"P00593","S00775"
"P00594","S00776"
"P00595","S00777"
"P00595","S00778"
"P00595","S00779"
"P00596","S00780"
"P00597","T00018"
"P00598","S00782"
"P00598","T00018"
"P00599","S00783"
"P00600","S00784"
"P00601","S00785"
"P00602","S00786"
"P00603","S00787"
"P00603","S00788"
"P00604","S00789"
"P00605","T00272"
"P00606","T00222"
"P00606","T00272"
"P00607","S00790"
"P00607","S00791"
"P00607","S00792"
"P00608","S00793"
"P00609","S00794"
"P00609","S00795"
"P00610","S00796"
"P00610","S00797"
"P00610","S00798"
"P00611","S00799"
"P00612","S00800"
"P00612","S00801"
"P00612","S00802"
"P00612","S00803"
"P00612","S00804"
"P00613","S00805"
"P00614","S00806"
"P00615","T00157"
"P00616","T00184"
"P00617","S00807"
"P00618","T00184"
"P00619","T00184"
"P00620","S00808"
"P00620","S00809"
"P00621","S00810"
"P00621","S00811"
"P00621","S00812"
"P00621","S00813"
"P00621","S00814"
"P00621","S00815"
"P00622","S00816"
"P00623","S00817"
"P00623","S00818"
"P00623","S00819"
"P00623","S00820"
"P00624","S00821"
"P00625","S00822"
"P00626","S00823"
"P00627","S00824"
"P00627","T00088"
"P00628","S00825"
"P00628","S00826"
"P00628","S00827"
"P00629","S00828"
"P00630","S00829"
"P00631","S00830"
"P00632","T00042"
"P00633","S00831"
"P00633","S00832"
"P00634","S00833"
"P00634","S00834"
"P00635","S00835"
"P00636","S00836"
"P00637","S00838"
"P00638","S00839"
"P00639","S00840"
"P00639","S00841"
"P00640","S00842"
"P00640","S00843"
"P00641","S00844"
"P00642","S00845"
"P00642","S00846"
"P00642","S00847"
"P00642","T00024"
"P00643","S00848"
"P00644","T00021"
"P00645","S00849"
"P00646","S00850"
"P00647","S00851"
"P00648","S00852"
"P00649","S00853"
"P00649","S00854"
"P00649","T00028"
"P00650","S00856"
"P00650","T00126"
"P00651","S00857"
"P00651","T00161"
"P00652","S00858"
"P00653","S00859"
"P00654","S00860"
"P00655","S00861"
"P00655","S00862"
"P00655","S00863"
"P00656","S00864"
"P00657","S00865"
"P00657","T00046"
"P00658","S00866"
"P00659","S00867"
"P00660","S00868"
"P00661","S00869"
"P00661","S00870"
"P00662","T00019"
"P00663","S00871"
"P00663","T00010"
"P00664","S00872"
"P00664","T00135"
"P00665","S00873"
"P00665","S00874"
"P00666","S00875"
"P00667","S00876"
"P00668","S00877"
"P00668","S00878"
"P00669","S00879"
"P00670","S00880"
"P00671","S00881"
"P00672","S00882"
"P00672","S00883"
"P00673","S00884"
"P00673","T00030"
"P00674","S00886"
"P00674","S00887"
"P00674","S00888"
"P00674","S00889"
"P00675","S00890"
"P00676","S00891"
"P00677","T00167"
"P00678","S00892"
"P00678","S00893"
"P00679","S00894"
"P00680","S00895"
"P00681","S00896"
"P00682","S00897"
"P00682","T00037"
"P00682","T00075"
"P00682","T00090"
"P00682","T00223"
"P00682","T00245"
"P00683","S00898"
"P00684","T00115"
"P00685","S00899"
"P00685","T00115"
"P00686","S00900"
"P00686","T00115"
"P00687","T00115"
"P00688","S00901"
"P00689","S00903"
"P00690","S00904"
"P00690","S00905"
"P00691","S00906"
"P00692","S00907"
"P00692","S00908"
"P00693","S00909"
"P00693","S00910"
"P00694","S00911"
"P00695","S00912"
"P00696","S00913"
"P00697","S00914"
"P00698","S00915"
"P00699","S00916"
"P00700","S00918"
"P00700","S00919"
"P00701","S00920"
"P00702","S00921"
"P00703","S00924"
"P00704","S00925"
"P00705","S00926"
"P00705","S00927"
"P00705","S00928"
"P00706","S00929"
"P00706","T00166"
"P00707","S00930"
"P00708","S00931"
"P00708","S00932"
"P00709","S00933"
"P00709","S00934"
"P00709","S00935"
"P00709","S00936"
"P00709","T00176"
"P00710","S00937"
"P00711","S00938"
"P00711","S00939"
"P00712","S00940"
"P00712","T00062"
"P00712","T00232"
"P00713","S00941"
"P00713","T00049"
"P00714","T00052"
"P00715","S00943"
"P00716","T00052"
"P00717","S00944"
"P00718","S00945"
"P00719","T00016"
"P00720","S00946"
"P00721","S00947"
"P00722","S00949"
"P00723","S00950"
"P00723","S00951"
"P00724","S00952"
"P00725","S00953"
"P00726","S00954"
"P00726","S00955"
"P00726","T00060"
"P00726","T00061"
"P00726","T00261"
"P00727","S00956"
"P00727","S00957"
"P00728","S00958"
"P00728","T00004"
"P00729","S00959"
"P00730","S00960"
"P00731","S00961"
"P00731","S00962"
"P00731","S00963"
"P00731","S00964"
"P00732","T00098"
"P00733","S00965"
"P00734","S00966"
"P00735","S00967"
"P00736","T00148"
"P00737","S00968"
"P00737","S00969"
"P00738","T00164"
"P00739","S00970"
"P00740","T00067"
"P00741","S00971"
"P00741","S00972"
"P00741","S00973"
"P00741","S00974"
"P00742","S00975"
"P00743","S00976"
"P00744","S00977"
"P00745","S00978"
"P00745","S00979"
"P00746","S00980"
"P00747","S00981"
"P00747","T00048"
"P00748","S00982"
"P00748","S00983"
"P00749","S00984"
"P00750","S00985"
"P00751","S00986"
"P00751","S00987"
"P00752","S00988"
"P00753","S00989"
"P00754","S00990"
"P00755","S00991"
"P00756","S00992"
"P00757","S00993"
"P00758","S00994"
"P00759","S00995"
"P00759","S00996"
"P00760","S00997"
"P00760","S00998"
"P00761","S00999"
"P00762","S01000"
"P00763","S01001"
"P00763","S01002"
"P00764","S01003"
"P00765","S01004"
"P00765","S01005"
"P00766","S01006"
"P00767","S01007"
"P00768","S01008"
"P00768","S01009"
"P00768","S01010"
"P00768","S01011"
"P00768","S01012"
"P00769","S01013"
"P00770","T00139"
"P00771","S01014"
"P00772","S01015"
"P00773","S01016"
"P00774","S01017"
"P00774","S01018"
"P00774","S01019"
"P00775","S01020"
"P00775","S01021"
"P00775","T00123"
"P00775","T00124"
"P00776","S01022"
"P00777","S01023"
"P00778","S01024"
"P00778","S01025"
"P00779","S01026"
"P00779","S01027"
"P00779","S01028"
"P00780","T00031"
"P00781","S01029"
"P00781","S01030"
"P00781","S01031"
"P00782","S01032"
"P00783","S01033"
"P00784","S01034"
"P00784","S01035"
"P00785","S01036"
"P00786","S01038"
"P00787","S01039"
"P00787","S01040"
"P00788","S01041"
"P00789","S01042"
"P00790","S01043"
"P00790","S01044"
"P00791","S01045"
"P00791","S01046"
"P00791","S01047"
"P00792","S01048"
"P00792","S01049"
"P00792","T00026"
"P00793","T00017"
"P00793","T00189"
"P00794","S01050"
"P00795","S01051"
"P00795","S01052"
"P00796","S01053"
"P00796","S01054"
"P00796","S01055"
"P00797","S01056"
"P00798","S01057"
"P00798","S01058"
"P00798","S01059"
"P00799","S01060"
"P00800","S01061"
"P00801","S01062"
"P00801","S01063"
"P00801","S01064"
"P00801","S01065"
"P00802","S01066"
"P00802","S01067"
"P00802","S01068"
"P00802","S01069"
"P00802","T00081"
"P00803","T00033"
"P00803","T00034"
"P00803","T00035"
"P00803","T00228"
"P00803","T00252"
"P00803","T00253"
"P00804","S01070"
"P00804","S01071"
"P00804","S01072"
"P00804","T00033"
"P00804","T00034"
"P00804","T00035"
"P00804","T00228"
"P00804","T00252"
"P00804","T00253"
"P00805","S01073"
"P00806","S01074"
"P00807","S01075"
"P00807","S01076"
"P00808","T00063"
"P00809","S01077"
"P00810","S01078"
"P00811","S01079"
"P00811","T00041"
"P00811","T00254"
"P00812","S01082"
"P00813","S01083"
"P00813","S01084"
"P00813","T00002"
"P00814","T00188"
"P00814","T00235"
"P00815","S01085"
"P00815","T00188"
"P00815","T00235"
"P00816","T00188"
"P00816","T00235"
"P00817","S01086"
"P00818","S01087"
"P00819","S01088"
"P00819","S01089"
"P00820","S01090"
"P00821","S01091"
"P00822","S01092"
"P00823","S01093"
"P00824","S01094"
"P00825","S01095"
"P00826","S01097"
"P00827","S01098"
"P00828","S01099"
"P00829","S01100"
"P00829","S01101"
"P00830","S01102"
"P00831","T00173"
"P00832","S01103"
"P00832","S01104"
"P00832","T00173"
"P00833","S01105"
"P00834","S01106"
"P00834","S01107"
"P00835","S01109"
"P00835","S01110"
"P00835","S01111"
"P00835","S01112"
"P00835","S01113"
"P00836","S01114"
"P00837","S01116"
"P00837","S01117"
"P00837","S01118"
"P00838","S01119"
"P00839","T00071"
"P00839","T00202"
"P00840","T00005"
"P00841","S01120"
"P00841","S01121"
"P00841","S01122"
"P00842","S01123"
"P00843","S01124"
"P00844","S01125"
"P00845","S01127"
"P00845","S01128"
"P00845","S01129"
"P00845","T00036"
"P00845","T00038"
"P00845","T00093"
"P00845","T00194"
"P00845","T00219"
"P00846","S01130"
"P00847","S01131"
"P00848","S01132"
"P00849","S01133"
"P00850","T00072"
"P00850","T00116"
