"idrefformula","idherbsmed","idcrude","composition","unit"
"F00995","J00995","S00821","",""
"F00995","J00995","S01007","",""
"F00996","J00996","S00098","",""
"F00996","J00996","S00228","",""
"F00996","J00996","S00536","",""
"F00996","J00996","S00562","",""
"F00996","J00996","S00693","",""
"F00996","J00996","S00818","",""
"F00996","J00996","S00822","",""
"F00997","J00997","S00759","",""
"F00997","J00997","S01005","",""
"F00998","J00998","S00281","",""
"F00998","J00998","S00679","",""
"F00999","J00999","S00246","",""
"F00999","J00999","S00537","",""
"F00999","J00999","S00700","",""
"F01000","J01000","S00679","",""
"F01000","J01000","S01128","",""
"F01001","J01001","S00172","",""
"F01001","J01001","S00246","",""
"F01001","J01001","S00679","",""
"F01001","J01001","S01005","",""
"F01002","J01002","S00489","",""
"F01002","J01002","S00674","",""
"F01002","J01002","S00679","",""
"F01002","J01002","S00917","",""
"F01003","J01003","S00224","",""
"F01003","J01003","S00325","",""
"F01003","J01003","S00679","",""
"F01003","J01003","S01005","",""
"F01003","J01003","S01035","",""
"F01003","J01003","S01053","",""
"F01004","J01004","S00442","",""
"F01004","J01004","S00483","",""
"F01004","J01004","S00780","",""
"F01004","J01004","S01005","",""
"F01004","J01004","S01035","",""
"F01004","J01004","S01051","",""
"F01005","J01005","S00151","",""
"F01005","J01005","S00254","",""
"F01005","J01005","S00318","",""
"F01005","J01005","S00325","",""
"F01005","J01005","S00788","",""
"F01005","J01005","S00818","",""
"F01005","J01005","S01128","",""
"F01006","J01006","S00517","",""
"F01007","J01007","S00238","",""
"F01007","J01007","S00318","",""
"F01007","J01007","S00562","",""
"F01007","J01007","S00636","",""
"F01007","J01007","S00724","",""
"F01007","J01007","S00818","",""
"F01008","J01008","S00058","",""
"F01008","J01008","S00296","",""
"F01008","J01008","S00317","",""
"F01008","J01008","S00429","",""
"F01008","J01008","S00652","",""
"F01008","J01008","S00899","",""
"F01009","J01009","S00195","",""
"F01009","J01009","S00228","",""
"F01009","J01009","S00790","",""
"F01009","J01009","S00818","",""
"F01009","J01009","S00825","",""
"F01009","J01009","S01124","",""
"F01009","J01009","S01125","",""
"F01010","J01010","S00066","",""
"F01010","J01010","S00429","",""
"F01010","J01010","S00562","",""
"F01010","J01010","S00724","",""
"F01010","J01010","S01128","",""
"F01011","J01011","S00065","",""
"F01011","J01011","S00296","",""
"F01011","J01011","S00724","",""
"F01011","J01011","S00818","",""
"F01011","J01011","S01128","",""
"F01012","J01012","S00065","",""
"F01012","J01012","S00325","",""
"F01012","J01012","S00697","",""
"F01012","J01012","S00818","",""
"F01012","J01012","S01128","",""
"F01013","J01013","S00066","",""
"F01013","J01013","S00195","",""
"F01013","J01013","S00325","",""
"F01013","J01013","S00821","",""
"F01013","J01013","S01124","",""
"F01013","J01013","S01128","",""
"F01014","J01014","S00296","",""
"F01014","J01014","S00317","",""
"F01014","J01014","S00325","",""
"F01014","J01014","S00562","",""
"F01014","J01014","S00821","",""
"F01014","J01014","S01125","",""
"F01015","J01015","S00065","",""
"F01015","J01015","S00562","",""
"F01015","J01015","S00697","",""
"F01015","J01015","S00821","",""
"F01015","J01015","S01124","",""
"F01015","J01015","S01128","",""
"F01016","J01016","S00065","",""
"F01016","J01016","S00216","",""
"F01016","J01016","S00326","",""
